Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Costa Rica Don Mayo La Loma,South America,Machine Washed,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,8.3,8.5,8.3,8.4,8.7,8.2,8.4,8.2,8.1,9.0,84.1
Costa Rica Don Oscar Limones,South America,Machine Washed,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,8.2,8.4,8.3,8.3,8.7,8.2,8.4,8.5,8.0,9.0,84.0
Costa Rica Helsar Asdrubal Chavez,South America,Wet Process,0.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,8.5,8.6,8.5,8.7,8.8,8.3,8.6,8.5,7.7,9.0,85.2
Costa Rica Helsar Finca Rola,South America,Machine Washed,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,8.5,8.7,7.5,8.5,8.6,8.5,8.7,8.5,7.9,9.0,84.4
Costa Rica Helsar Leo Rojas Lot 2,South America,Machine Washed,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,8.4,8.5,8.3,8.5,8.5,8.5,8.5,8.5,8.2,8.5,84.4
Costa Rica Helsar Magdalena Vega,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,8.5,8.5,8.4,8.6,8.8,8.3,8.5,8.7,8.2,8.5,85.0
Costa Rica Helsar Miguel Rojas,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,8.3,8.6,8.2,8.6,8.8,8.3,8.5,8.5,8.0,9.0,84.8
El Salvador Santa Ana Pacamara AAA,South America,Wet Process,1.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,8.6,8.8,8.7,8.8,8.6,8.6,9.0,8.5,8.7,9.0,87.3
Costa Rica Helsar Miguel Rojas Lot 2,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,8.3,8.6,8.2,8.6,8.8,8.3,8.5,8.2,8.0,9.0,84.5
Costa Rica La Casona SF 1900,South America,Wet Process,0.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,8.5,8.6,8.7,8.7,8.8,8.5,8.6,8.8,8.6,9.0,86.8
Costa Rica Los Crestones Finca Alaska,South America,Machine Washed,0.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,8.3,8.6,8.3,8.6,8.7,8.2,8.5,8.5,7.9,9.0,84.60000000000001
Costa Rica Tarrazu Don Mayo Cascabeles,South America,Machine Washed,0.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,8.3,8.6,8.3,8.6,8.5,8.4,8.7,8.5,8.2,8.5,84.6
Costa Rica Tarrazu Don Mayo La Loma,South America,Wet Process,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,8.3,8.6,8.4,8.6,8.7,8.5,8.5,8.5,8.2,9.0,85.3
Costa Rica Tarrazu La Casona SF 1900 Lot 2,South America,Wet Process,0.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,8.4,8.5,8.5,8.6,8.8,8.2,8.5,8.5,8.0,9.0,85.0
Costa Rica Tarrazu Monte Alto,South America,Machine Washed,0.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,8.5,8.7,8.5,8.8,8.8,8.7,8.7,8.5,8.8,8.5,86.5
El Salvador Apaneca Finca Miravalle,South America,Wet Process,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,8.0,8.3,7.7,8.3,9.0,8.2,8.3,8.2,7.5,8.5,82.0
El Salvador Apaneca Finca Miravalle Bourbon,South America,Wet Process,0.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,8.5,8.6,8.6,8.6,8.0,8.5,8.5,8.5,8.2,8.5,84.50000000000001
El Salvador Ataco Finca Villa Maria Bourbon,South America,Wet Process,0.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,8.3,8.4,8.2,8.5,9.0,8.2,8.5,8.5,7.7,8.5,83.80000000000001
Guatemala Acatenango Gesha Lot 2,South America,Wet Process,4.0,2.0,4.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,9.5,9.5,8.8,9.7,8.8,9.5,9.0,9.0,9.7,8.5,92.0
El Salvador Comasagua San Antonio,South America,Machine Washed,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,8.2,8.6,8.4,8.5,9.0,8.3,8.3,8.5,7.8,8.3,83.89999999999999
El Salvador Finca La Esperanza,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,8.2,8.6,8.5,8.5,8.9,8.2,8.5,8.3,7.8,8.5,83.99999999999999
El Salvador Finca Matalapa Lote Cumbrita,South America,Wet Process,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,8.3,8.5,8.2,8.5,8.5,8.3,8.4,8.5,7.8,9.0,83.99999999999999
El Salvador Finca Matalapa Lote Pino,South America,Wet Process,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,8.3,8.7,8.2,8.5,8.3,8.4,8.4,8.5,7.5,8.5,83.3
El Salvador Finca Matalapa Peaberry,South America,Wet Process,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,8.3,8.6,8.5,8.5,8.4,8.5,8.4,8.5,8.3,9.0,84.99999999999999
El Salvador Finca Santa Julia Bourbon,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,4.0,8.2,8.5,8.1,8.5,9.0,8.0,8.2,8.5,8.0,8.5,83.5
El Salvador La Esperanza ,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,8.6,8.5,8.6,8.6,8.4,8.5,8.5,8.5,8.6,8.5,85.3
El Salvador Perquin Finca La Victoria ,South America,Wet Process,0.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,4.0,8.3,8.5,8.0,8.5,8.8,8.3,8.5,8.5,7.5,8.5,83.39999999999999
El Salvador Santa Ana Miravalle H1,South America,Wet Process,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,2.0,0.0,2.0,4.0,8.3,8.5,8.4,8.7,9.2,8.0,8.4,8.5,8.0,8.5,84.5
El Salvador Santa Ana Pacamara AA,South America,Wet Process,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,8.7,8.8,8.9,9.0,8.4,8.6,8.3,8.5,8.7,8.5,86.4
Guatemala Chimaltenango San Martin Jilotepeque,South America,Wet Process,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,8.2,8.6,8.1,8.3,8.9,8.2,8.4,8.3,7.8,8.2,83.0
Guatemala Acatenango Gesha ,South America,Wet Process,5.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,9.3,9.5,8.8,9.7,8.3,9.5,9.0,9.0,9.7,8.5,91.3
Guatemala Acatenango Gesha Lot 1,South America,Wet Process,2.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,9.0,9.2,8.9,9.2,9.5,8.5,8.7,8.5,9.3,8.7,89.5
Guatemala Acatenango Gesha Lot 3,South America,Wet Process,3.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,9.0,9.4,8.7,9.2,8.8,9.3,8.7,9.0,9.5,9.0,90.6
Guatemala Acatenango Gesha Lot 4,South America,Wet Process,3.0,1.0,4.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,9.0,9.6,8.9,9.5,8.9,9.5,8.9,8.5,9.7,8.5,91.0
Guatemala Antigua Buena Vista Panameña Cultivar,South America,Wet Process,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,8.6,8.8,8.5,8.9,8.7,8.8,8.5,8.2,8.9,8.5,86.4
Guatemala Antigua Carmona Pulcal,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,8.3,8.6,8.5,8.6,8.7,8.3,8.5,8.5,8.3,8.5,84.8
Guatemala Antigua Finca Buena Vista ,South America,Wet Process,0.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,4.0,8.5,8.7,8.5,8.6,9.2,8.3,8.4,8.5,7.5,8.5,84.69999999999999
Guatemala Antigua Finca Cabrejo,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,8.5,8.7,8.4,8.7,9.3,8.5,8.7,8.5,8.0,8.5,85.8
Guatemala Antigua Finca Cabrejo,South America,Wet Process,0.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,4.0,8.6,8.7,8.7,8.7,9.0,8.5,8.6,8.5,8.5,8.5,86.3
Guatemala Antigua Hunapu Ciudad Vieja,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,8.3,8.6,8.3,8.6,9.2,8.3,8.5,8.4,7.9,8.5,84.60000000000001
Guatemala Antigua La Parcela Melanie,South America,Wet Process,0.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,8.6,8.8,8.7,8.8,9.0,8.7,8.7,8.5,8.7,8.5,87.0
Guatemala Antigua Pulcal Inteligente,South America,Wet Process,0.0,0.0,3.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,4.0,8.5,8.6,8.4,8.7,9.2,8.5,8.7,8.5,8.5,8.8,86.4
Guatemala Antigua Pulcal Java Cultivar,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,8.4,8.6,8.7,8.7,8.9,8.5,8.6,8.5,8.6,8.5,86.0
Guatemala Antigua Pulcal Yellow Bourbon,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,8.3,8.5,8.7,8.6,8.7,8.4,8.5,8.5,8.2,8.1,84.49999999999999
Guatemala Chimaltenango Concepcion Buena Vista,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,4.0,8.3,8.6,8.3,8.6,9.0,8.3,9.0,8.5,8.0,8.5,85.1
Guatemala Chimaltenango Herber Chali,South America,Wet Process,0.0,1.0,2.0,3.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,3.0,8.4,8.7,8.5,8.6,9.0,8.3,8.5,8.3,8.0,8.3,84.6
Guatemala Chimaltenango Herber Chalí,South America,Wet Process,0.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,4.0,8.5,8.6,8.4,8.6,9.0,8.3,8.6,8.5,8.3,8.5,85.3
Guatemala Chimaltenango San Martin Jilotepeque,South America,Wet Process,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,8.2,8.5,8.1,8.5,9.4,8.3,8.4,8.4,7.7,8.5,84.0
Guatemala Cuilco Finca El Regalito,South America,Wet Process,1.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,2.0,4.0,8.7,8.8,8.7,8.9,9.2,8.7,8.8,8.5,8.6,8.5,87.39999999999999
Guatemala Cuilco Finca El Regalito,South America,Wet Process,0.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,8.6,8.7,8.6,8.8,8.8,8.6,8.7,8.5,8.5,8.5,86.3
Ethiopia Dry Process Abiyot Bobea,East Africa,Dry Process,2.0,0.0,3.0,2.0,4.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,8.6,8.8,8.7,9.3,9.0,8.8,8.7,8.1,9.7,8.3,88.0
Guatemala Xinabajul Producers,South America,Wet Process,0.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,8.5,8.7,8.5,8.6,8.8,8.5,8.5,8.5,8.4,8.5,85.5
Guatemala Daniel Perez Pacamara,South America,Wet Process,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,8.5,8.7,8.4,8.6,8.0,8.4,8.7,8.5,8.2,8.5,84.5
Guatemala Honey Process Finca Los Suspiros,South America,Honey Process,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,8.6,8.8,8.6,8.9,8.8,8.8,8.8,8.5,8.8,8.5,87.1
Guatemala Honey Process Finca Rosma,South America,Honey Process,0.0,3.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,8.5,8.7,8.5,8.6,9.0,8.0,8.5,8.5,8.2,8.0,84.5
Guatemala Honey Process Finca Rosma,South America,Wet Process,0.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,4.0,8.6,8.7,8.5,8.7,9.2,8.5,8.6,8.4,8.5,8.3,86.0
Guatemala Huehuetenango Boqueroncito,South America,Wet Process,1.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,2.0,4.0,8.5,8.7,8.6,8.8,9.3,8.6,8.8,8.5,8.7,8.5,87.0
Guatemala Huehuetenango Finca Los Suspiros,South America,Wet Process,0.0,1.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,8.5,8.7,8.6,8.7,8.6,8.4,8.7,8.3,8.6,8.5,85.6
Guatemala Huehuetenango Xinabajul Producers,South America,Wet Process,0.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,8.5,8.5,8.6,8.5,8.7,8.4,8.6,8.5,8.0,8.3,84.6
Guatemala Michicoy Finca Rosma,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,8.4,8.7,8.6,8.7,8.5,8.5,8.7,8.5,8.4,8.2,85.20000000000002
Guatemala Paraíso La Colibri,South America,Wet Process,0.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,8.8,8.8,8.6,8.9,8.6,8.7,8.6,8.5,8.9,8.3,86.7
Guatemala Patzun Finca La Florida,South America,Wet Process,0.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,8.6,8.7,8.5,8.7,8.8,8.5,8.7,8.5,8.4,8.5,85.9
Guatemala Xinabajul Productores de Peña,South America,Wet Process,0.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,4.0,8.5,8.6,8.4,8.7,9.0,8.4,8.6,8.5,8.1,8.5,85.3
Guatemala Patzun Finca Las Camelias,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,4.0,8.3,8.6,8.3,8.5,9.2,8.2,8.6,8.1,8.0,8.5,84.30000000000001
Guatemala Patzún Finca Las Camelias,South America,Wet Process,0.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,8.7,8.8,8.5,8.8,8.9,8.7,8.8,8.3,9.0,8.5,86.99999999999999
Guatemala Patzun Finca Santa Anita,South America,Wet Process,1.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,8.4,8.6,8.4,8.6,8.7,8.3,8.8,8.5,8.5,8.5,85.3
Guatemala Peña Blanca Familia Villatoro,South America,Wet Process,0.0,0.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0,8.6,8.7,8.5,8.7,9.0,8.5,8.7,8.5,8.7,8.5,86.4
Guatemala Proyecto Xinabajul Bojonalito,South America,Wet Process,0.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,8.5,8.7,8.4,8.7,8.7,8.5,8.6,8.3,8.6,8.5,85.5
Guatemala Proyecto Xinabajul Chalum,South America,Wet Process,0.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,8.3,8.6,8.5,8.6,8.8,8.5,8.5,8.5,8.0,8.5,84.8
Guatemala Proyecto Xinabajul Cruz Grande,South America,Wet Process,0.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,4.0,8.7,8.7,8.4,8.9,9.4,8.5,8.6,8.2,8.9,8.3,86.6
Guatemala Proyecto Xinabajul Cuilco,South America,Wet Process,0.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,8.6,8.7,7.8,8.7,8.9,8.5,8.7,8.5,8.3,8.3,84.99999999999999
Guatemala Proyecto Xinabajul Donaldo Villatoro,South America,Wet Process,0.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,3.0,8.7,8.8,8.7,9.0,8.7,8.7,8.7,8.5,8.9,8.5,87.20000000000002
Guatemala Proyecto Xinabajul Familia Castillo,South America,Wet Process,1.0,2.0,4.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,8.6,8.8,8.5,8.8,9.0,8.6,8.8,8.5,8.5,8.5,86.60000000000001
Nicaragua Buenos Aires Los Pinos,South America,Wet Process,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,8.2,8.5,8.0,8.3,8.8,8.2,8.4,8.3,7.7,8.3,82.7
Guatemala Proyecto Xinabajul La Libertad,South America,Wet Process,0.0,0.0,3.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,8.3,8.5,8.5,8.7,8.8,8.4,8.5,8.4,8.6,8.3,84.99999999999999
Guatemala Proyecto Xinabajul Los Chuchitos,South America,Wet Process,0.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,8.2,8.4,8.4,8.6,8.8,8.6,8.6,8.5,8.2,8.2,84.50000000000001
Guatemala Proyecto Xinabajul Paraiso,South America,Wet Process,0.0,1.0,3.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,3.0,8.4,8.7,8.6,8.6,8.7,8.3,8.8,8.4,8.3,8.3,85.1
Guatemala Proyecto Xinabajul Peaberry,South America,Wet Process,0.0,0.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,8.4,8.6,8.4,8.5,8.8,8.2,8.6,8.0,8.5,8.5,84.5
Guatemala Proyecto Xinabajul Peaberry,South America,Wet Process,0.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,8.5,8.6,8.5,8.7,8.8,8.5,8.7,8.5,8.3,9.0,86.1
Guatemala Xinabajul Carmelino Sales,South America,Wet Process,0.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,4.0,8.5,8.8,8.5,8.8,9.5,8.5,8.7,8.5,8.7,8.3,86.8
Guatemala Xinabajul Cuchumatanes Producers,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,4.0,8.3,8.5,8.4,8.5,8.8,8.3,8.6,8.4,8.2,8.5,84.5
Guatemala Xinabajul Familia Villatoro,South America,Wet Process,0.0,0.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,4.0,8.5,8.7,8.4,8.6,9.5,8.5,8.5,8.5,8.0,8.5,85.7
Guatemala Xinabajul Flavio Martinez,South America,Wet Process,1.0,0.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,8.7,8.8,8.6,8.9,8.7,8.7,8.7,8.5,8.8,8.5,86.9
Guatemala Xinabajul La Libertad,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,4.0,8.4,8.7,8.5,8.7,9.3,8.3,8.7,8.5,8.4,8.2,85.7
Nicaragua Dipilto Monte Libano,South America,Wet Process,0.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,4.0,8.3,8.5,8.2,8.5,9.0,8.2,8.4,8.5,7.5,8.5,83.6
Guatemala Xinabajul Marca Roja,South America,Wet Process,0.0,1.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,8.4,8.6,8.1,8.6,8.8,8.4,9.0,8.5,8.0,8.5,84.9
Guatemala Xinabajul Mejor de Ixchil,South America,Wet Process,1.0,0.0,3.0,2.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,3.0,8.6,8.6,8.5,8.7,8.8,8.4,8.7,8.3,8.5,8.5,85.6
Guatemala Xinabajul Mejor de Libertad,South America,Wet Process,0.0,1.0,3.0,4.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,4.0,8.6,8.9,8.6,8.8,8.8,8.7,9.0,8.7,8.4,8.5,87.00000000000001
Guatemala Xinabajul Mejor de Peña,South America,Wet Process,0.0,2.0,3.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,8.7,8.7,8.5,8.7,9.0,8.5,8.6,8.5,8.4,8.5,86.1,
Honduras Buenos Aires Community,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,8.4,8.6,8.5,8.6,8.8,8.3,8.4,8.3,7.9,8.3,84.10000000000001
Honduras Cerro Negro La Lesquiñada,South America,Wet Process,0.0,0.0,3.0,2.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,8.5,8.7,8.4,8.6,8.9,8.4,8.6,8.3,8.7,8.3,85.4
Honduras Comayagua Angel Vasquez,South America,Wet Process,0.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,8.2,8.5,8.6,8.6,8.5,8.3,8.3,8.3,8.7,8.5,84.5
Honduras Comayagua Nueva Alianza,South America,Wet Process,0.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,4.0,8.6,8.7,8.6,8.7,8.8,8.5,8.6,8.3,8.7,8.5,86.0
Honduras Corquín Sergio Romero,South America,Wet Process,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,8.2,8.6,8.3,8.5,8.8,8.3,8.4,8.2,8.5,8.5,84.29999999999998
Honduras San Sebastian Renan Perez,South America,Wet Process,0.0,0.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,8.4,8.6,8.5,8.7,8.9,8.2,8.5,8.3,8.7,8.5,85.3
Panama La Esmeralda Gesha 1500,South America,Wet Process,4.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,9.2,9.7,8.8,9.6,9.0,9.5,8.7,9.0,9.8,9.0,92.3
Mexico Special Prep Ixhuatlan Jesus Alberto,South America,Other Processes,0.0,1.0,3.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,8.5,8.6,8.4,8.6,9.4,8.3,8.5,8.5,8.2,8.5,85.5
Nicaragua Acopio Suyatal,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,4.0,8.3,8.5,8.4,8.6,9.0,8.3,8.5,8.5,7.7,8.5,84.30000000000001
Nicaragua Acopio Suyatal,South America,Wet Process,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,8.3,8.5,8.3,8.5,8.8,8.3,8.4,8.5,7.7,8.5,83.8
Nicaragua Dipilto Finca La Laguna,South America,Wet Process,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,8.0,8.5,8.3,8.3,8.9,8.0,8.2,8.5,7.5,9.0,83.2
Nicaragua Dipilto Monte Libano,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,8.3,8.5,7.9,8.5,8.8,8.5,8.5,8.5,7.5,8.5,83.5
Nicaragua Dry Process Acopio Suyatal,South America,Dry Process,0.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,8.7,8.5,8.2,8.9,9.1,8.7,8.7,7.9,9.5,8.3,86.5
Nicaragua Dry Process Buenos Aires Caturra,South America,Dry Process,0.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,8.7,8.8,8.2,8.8,9.0,8.6,8.5,8.0,9.0,8.2,85.8
Nicaragua Dry Process Buenos Aires Java,South America,Dry Process,0.0,0.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,4.0,8.5,8.7,8.3,8.7,9.0,8.2,8.6,8.0,8.9,8.5,85.4
Nicaragua Dry Process Buenos Aires Maracaturra,South America,Dry Process,0.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,8.6,8.7,8.2,8.7,8.5,8.5,8.5,8.1,8.9,8.3,85.0
Nicaragua Finca Buenos Aires Lot 1,South America,Wet Process,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,8.2,8.5,8.4,8.5,8.6,8.2,8.4,8.5,7.8,8.5,83.60000000000001
Sumatra Gayo Bintang DiRahmah,Southeast Asia,Wet Hulled,0.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,3.0,8.3,8.5,8.5,8.7,8.8,8.1,8.4,7.3,9.4,8.0,84.0
Nicaragua Finca Buenos Aires Lot 1,South America,Machine Washed,0.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,4.0,8.3,8.6,8.3,8.6,9.0,8.2,8.5,8.5,8.0,8.5,84.5
Nicaragua Finca Buenos Aires Lot 2,South America,Wet Process,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,8.2,8.4,8.3,8.5,8.6,8.2,8.4,8.3,7.8,8.5,83.2
Nicaragua Jinotega Finca El Lino,South America,Wet Process,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,8.2,8.5,8.3,8.5,9.3,8.5,8.4,8.5,7.8,8.5,84.49999999999999
Panama Dry Process Finca Bambito Gesha,South America,Dry Process,4.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,9.7,9.7,8.7,9.8,9.0,9.5,9.0,9.5,9.8,8.5,93.2
Panama Honey Process Paso Ancho,South America,Honey Process,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,8.3,8.6,8.0,8.5,9.4,8.3,8.5,8.3,8.6,8.5,84.99999999999999
Panama Volcán Barú Estate,South America,Wet Process,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,8.3,8.5,8.4,8.5,8.5,8.3,8.4,8.2,7.9,9.0,84.0
