Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Ethiopia Organic Dry Process Sidama Keramo,East Africa,Dry Process,2.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,0.0,1.0,2.0,4.0,9.3,9.5,8.7,9.5,9.5,9.0,9.0,8.5,9.8,8.2,91.0
Ethiopia Organic Dry Process Sidama Shantawene,East Africa,Dry Process,2.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,0.0,0.0,2.0,4.0,9.4,9.6,8.7,9.7,9.2,9.2,9.0,8.2,9.8,8.2,91.0
Ethiopia Organic Sidama Keramo,East Africa,Wet Process,3.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,9.0,9.2,8.7,9.3,8.6,9.0,8.7,8.8,9.5,8.5,89.3
Ethiopia Organic Sidama Shantawene Village,East Africa,Wet Process,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,9.0,9.0,8.8,9.4,8.7,9.0,9.6,9.0,9.2,8.3,90.0
Kenya Nyeri Kiandu AB,East Africa,Wet Process,1.0,0.0,4.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,3.0,3.0,9.1,9.3,9.0,9.3,8.8,9.4,8.9,8.5,9.3,9.0,90.6
Ethiopia Sidama Damo,East Africa,Wet Process,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,9.0,9.4,9.0,9.0,8.7,9.0,9.2,9.0,9.0,9.0,90.3
Ethiopia Sidama Shantawene Village,East Africa,Wet Process,3.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,9.5,9.6,9.0,9.5,8.5,9.4,9.0,9.0,9.5,9.0,92.0
Ethiopia Uraga Tebe Haro Wato,East Africa,Wet Process,2.0,4.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,9.0,9.5,8.9,9.5,9.0,9.4,9.0,9.1,9.6,9.0,91.99999999999999
Ethiopia Yirga Cheffe Kebele Foge,East Africa,Wet Process,3.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.8,9.0,8.7,9.0,8.2,8.8,8.7,8.5,9.2,8.5,87.4
Ethiopia Yirga Cheffe Konga Station,East Africa,Wet Process,4.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,9.3,9.6,8.8,9.5,8.5,9.2,8.7,8.4,9.5,8.2,89.70000000000002
Ethiopia Yukiro Cooperative,East Africa,Wet Process,2.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,8.8,8.8,8.8,9.2,8.5,9.0,8.8,9.0,9.0,8.5,88.4
Kenya Gatanga Ibutiti Estate AAï»¿,East Africa,Wet Process Kenya Type,0.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,9.1,9.3,9.4,9.3,8.8,9.2,8.8,8.7,9.5,8.5,90.6
Kenya Gatanga Ibutiti Estate Peaberry,East Africa,Wet Process,1.0,0.0,3.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,3.0,9.3,9.7,9.0,9.7,8.8,9.4,8.7,8.5,9.8,8.7,91.6
Kenya Kiambu Evans Farm AA,East Africa,Wet Process Kenya Type,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,8.7,8.8,9.0,8.8,9.0,8.7,8.5,8.5,9.0,8.5,87.5
Kenya Kiambu Evans Farm AA,East Africa,Wet Process Kenya Type,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,9.3,9.6,9.6,9.5,8.5,9.2,8.7,8.9,9.5,8.7,91.50000000000001
